total_ids,agency_name,total_errors,application_type,year,total_fields,ids_with_errors,ids_without_errors,accuracy,media_type,category,form_name,quarter,run_date
80,Alabama,4,Originals,2022,2800,R000735411,R000730194,99.86,CSV,Filings,AL_QTR_RECON_O,1,2022-08-03 09:58:28
80,Alabama,1,Originals,2022,2800,,R000732530,99.96,CSV,Filings,AL_QTR_RECON_O,1,2022-08-03 11:07:43
4,Federal,1,Originals,2022,0,,020538524,0.0,XML,Filings,941SS,1,2022-08-03 11:43:46
4,District_Of_Columbia,23,Originals,2022,807,,530201498,97.15,text,Filings,DC_1099,1,2022-08-04 04:38:42
4,District_Of_Columbia,0,Originals,2022,807,,530201498,100.0,text,Filings,DC_1099,1,2022-08-03 06:57:38
4,District_Of_Columbia,25,Originals,2022,807,140689340,,96.9,text,Filings,DC_1099,1,2022-08-03 05:02:34
4,District_Of_Columbia,25,Originals,2022,807,530201498,,96.9,text,Filings,DC_1099,1,2022-08-02 09:30:24
4,District_Of_Columbia,25,Originals,2022,807,530201498,,96.9,text,Filings,DC_1099,1,2022-08-02 12:25:48
0,Alabama,1,Originals,2022,0,,,0.0,CSV,Filings,AL_QTR_RECON_O,1,2022-08-02 11:34:02
0,Alabama,1,Originals,2022,0,,,0.0,CSV,Filings,AL_QTR_RECON_O,1,2022-08-02 12:13:00
4,District_Of_Columbia,25,Originals,2022,807,131635294,,96.9,text,Filings,DC_1099,1,2022-08-03 05:41:48
80,Alabama,1,Originals,2022,2800,R000736440,R000724841,99.96,CSV,Filings,AL_QTR_RECON_O,1,2022-08-03 05:43:51
4,District_Of_Columbia,10,Originals,2022,703,140689340,,98.58,text,Filings,DC_1099,1,2022-08-04 05:42:01
10,Alabama,0,Originals,2022,2800,,R000734065,100.0,CSV,Filings,AL_QTR_RECON_O,1,2022-08-04 09:39:13
10,Alabama,1,Originals,2022,2800,R000736440,R000724043,99.96,CSV,Filings,AL_QTR_RECON_O,1,2022-08-04 09:45:23
0,Alabama,1,Originals,2022,0,,,0.0,CSV,Filings,AL_QTR_RECON_O,1,2022-08-04 11:44:39
4,District_Of_Columbia,27,Originals,2022,811,530201498,131635294,96.67,text,Filings,DC_1099,1,2022-08-08 09:22:31
0,District_Of_Columbia,0,Originals,2022,0,,,0.0,text,Filings,DC_1099,1,2022-08-08 09:29:46
0,District_Of_Columbia,0,Originals,2022,0,,,0.0,text,Filings,DC_1099,1,2022-08-08 09:54:17
80,Alabama,2,Originals,2022,2800,R000736440,R000729321,99.93,CSV,Filings,AL_QTR_RECON_O,1,2022-08-04 04:51:37
80,Alabama,0,Originals,2022,2800,,R000724146,100.0,CSV,Filings,AL_QTR_RECON_O,1,2022-08-03 09:34:04
4,District_Of_Columbia,30,Originals,2022,807,140689340,,96.28,text,Filings,DC_1099,1,2022-08-01 07:19:44
4,District_Of_Columbia,24,Originals,2022,807,131635294,,97.03,text,Filings,DC_1099,1,2022-08-03 05:54:40
4,District_Of_Columbia,30,Originals,2022,807,530201498,,96.28,text,Filings,DC_1099,1,2022-08-02 05:56:53
4,District_Of_Columbia,24,Originals,2022,807,530201498,,97.03,text,Filings,DC_1099,1,2022-08-03 06:08:52
0,Alabama,1,Originals,2022,0,,,0.0,CSV,Filings,AL_QTR_RECON_O,1,2022-08-04 04:26:26
0,Alabama,1,Originals,2022,0,,,0.0,CSV,Filings,AL_QTR_RECON_O,1,2022-08-04 04:26:31
0,Alabama,1,Originals,2022,0,,,0.0,CSV,Filings,AL_QTR_RECON_O,1,2022-08-02 10:04:37
0,Alabama,1,Originals,2022,0,,,0.0,CSV,Filings,AL_QTR_RECON_O,1,2022-08-03 05:29:12
0,Federal,0,Originals,2022,0,,,0.0,pdf,Filings,941,1,2022-05-10 16:22:47
